Patron;H0_1;H0_2;Qmax_1;Qmax_2;PS1;PS2;Altura;Bomba
0.654;65.08605661;42.5264079;38.31341299;12.53542785;0.8318;0.1682;1;1
0.587;65.08605661;42.5264079;38.31341299;12.53542785;0.6941;0.3059;1;1
0.55;65.08605661;42.5264079;38.31341299;12.53542785;0.459;0.541;0;0
0.542;65.08605661;42.5264079;38.31341299;12.53542785;0.4805;0.5195;1;0
0.542;65.08605661;42.5264079;38.31341299;12.53542785;0.5714;0.4286;1;1
0.581;65.08605661;42.5264079;38.31341299;12.53542785;0.8548;0.1452;1;1
0.782;65.08605661;42.5264079;38.31341299;12.53542785;0.4342;0.5658;0;0
1.121;65.08605661;42.5264079;38.31341299;12.53542785;0.9783;0.0217;0;0
1.103;65.08605661;42.5264079;38.31341299;12.53542785;0.7;0.3;1;1
1.176;65.08605661;42.5264079;38.31341299;12.53542785;0.5322;0.4678;0;0
1.277;65.08605661;42.5264079;38.31341299;12.53542785;0.8679;0.1321;0;0
1.318;65.08605661;42.5264079;38.31341299;12.53542785;0.7091;0.2909;1;1
1.325;65.08605661;42.5264079;38.31341299;12.53542785;0.55;0.45;0;0
1.298;65.08605661;42.5264079;38.31341299;12.53542785;0.3778;0.6222;0;0
1.305;65.08605661;42.5264079;38.31341299;12.53542785;0.2368;0.7632;0;0
1.285;65.08605661;42.5264079;38.31341299;12.53542785;0.5686;0.4314;0;0
1.2;65.08605661;42.5264079;38.31341299;12.53542785;0.1375;0.8625;0;0
1.177;65.08605661;42.5264079;38.31341299;12.53542785;0.9901;0.0099;0;0
1.185;65.08605661;42.5264079;38.31341299;12.53542785;0.605;0.395;1;0
1.136;65.08605661;42.5264079;38.31341299;12.53542785;0.5921;0.4079;1;0
1.093;65.08605661;42.5264079;38.31341299;12.53542785;0.446;0.554;0;0
1.087;65.08605661;42.5264079;38.31341299;12.53542785;0.5581;0.4419;0;0
0.918;65.08605661;42.5264079;38.31341299;12.53542785;0.616;0.384;1;1
0.759;65.08605661;42.5264079;38.31341299;12.53542785;0.0769;0.9231;0;0
0.654;48.18376919;54.5768275;28.00610141;48.2683655;0.2857;0.7143;0;0
0.587;48.18376919;54.5768275;28.00610141;48.2683655;0.0909;0.9091;0;0
