Instancia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0.92,0.0,0.89,0.0,0.85,0.02,0.97,0.09,0.87,0.16,0.82,0.17,0.82,0.1,0.89,0.02,0.89,0.11,0.8,0.05,0.98,0.15,0.93,0.04,0.86,0.11,0.94,0.16,0.95,0.05,0.84,0.15,0.92,0.0,1.0,0.14,0.97,0.0,1.0,0.11,0.98,0.08,0.91,0.16,0.92,0.2,0.91,0.2,0.17,0.29,0.26,0.23,69.79
1,0.82,0.16,0.93,0.11,0.98,0.1,0.81,0.12,0.81,0.16,0.8,0.2,1.0,0.02,0.99,0.15,0.82,0.09,0.83,0.01,0.85,0.08,0.91,0.06,0.93,0.02,1.0,0.13,0.82,0.02,0.92,0.01,0.9,0.06,0.85,0.06,0.89,0.0,0.92,0.16,0.98,0.08,0.93,0.2,0.81,0.03,0.9,0.1,0.33,0.2,0.78,0.05,66.67
2,0.81,0.2,0.99,0.1,0.84,0.19,0.96,0.15,0.89,0.19,0.87,0.06,0.9,0.12,0.86,0.07,0.87,0.13,0.86,0.18,0.84,0.12,0.84,0.18,0.88,0.18,1.0,0.17,0.82,0.15,0.87,0.07,0.87,0.14,0.94,0.04,0.98,0.15,1.0,0.11,0.96,0.08,0.83,0.12,0.85,0.06,0.92,0.2,0.4,0.11,0.43,0.07,66.67
3,0.93,0.06,0.98,0.14,0.84,0.13,0.8,0.03,0.83,0.09,0.91,0.0,0.91,0.03,0.99,0.01,0.92,0.16,0.84,0.05,0.86,0.16,0.89,0.11,0.98,0.12,0.97,0.06,0.9,0.08,0.84,0.08,1.0,0.17,0.81,0.05,0.87,0.18,0.9,0.2,0.85,0.17,0.84,0.19,0.86,0.17,0.93,0.12,0.11,0.25,0.14,0.22,75.0
4,0.88,0.07,0.88,0.02,0.8,0.19,0.92,0.17,0.91,0.06,0.9,0.0,0.82,0.01,0.97,0.19,0.96,0.06,0.87,0.14,0.96,0.05,0.94,0.16,0.98,0.19,0.92,0.09,0.85,0.18,0.96,0.16,0.96,0.2,0.84,0.1,0.94,0.09,0.85,0.07,0.88,0.06,0.95,0.16,0.88,0.18,0.89,0.02,0.13,0.14,0.82,0.31,70.83
5,0.94,0.0,0.82,0.19,0.84,0.06,0.8,0.14,0.88,0.05,0.94,0.08,0.98,0.04,0.95,0.08,0.96,0.02,0.91,0.01,0.89,0.15,0.98,0.04,0.97,0.1,0.8,0.16,0.92,0.15,0.97,0.06,0.88,0.17,0.81,0.07,0.89,0.02,0.84,0.19,0.83,0.01,0.86,0.16,0.98,0.15,0.9,0.19,0.18,0.27,0.44,0.22,72.92
6,0.96,0.03,0.87,0.09,0.93,0.04,0.8,0.04,0.98,0.07,0.9,0.19,0.97,0.07,0.96,0.12,0.87,0.12,0.99,0.0,0.8,0.18,0.95,0.0,0.95,0.01,0.97,0.09,0.96,0.02,0.92,0.0,0.89,0.15,0.94,0.1,0.87,0.01,0.99,0.04,0.83,0.15,0.98,0.16,0.83,0.03,0.81,0.06,0.8,0.22,0.79,0.04,51.04
7,0.81,0.0,0.82,0.19,0.95,0.17,0.86,0.18,1.0,0.15,0.87,0.04,0.89,0.11,0.89,0.08,0.83,0.2,0.82,0.13,0.94,0.01,0.98,0.13,0.93,0.14,0.95,0.15,0.85,0.04,0.91,0.02,0.91,0.12,0.8,0.04,0.9,0.05,0.93,0.03,0.9,0.04,0.9,0.17,0.94,0.2,0.87,0.13,0.08,0.4,0.19,0.38,76.04
8,0.99,0.1,0.92,0.19,1.0,0.04,0.96,0.0,0.89,0.09,0.82,0.15,0.82,0.01,0.95,0.05,0.96,0.04,0.85,0.1,0.99,0.08,0.95,0.02,0.81,0.07,0.87,0.04,0.87,0.02,0.85,0.15,0.82,0.11,0.99,0.17,0.82,0.11,0.8,0.08,0.8,0.18,0.91,0.06,1.0,0.2,0.97,0.19,0.33,0.35,0.1,0.3,68.75
9,0.81,0.17,0.82,0.11,0.82,0.16,0.93,0.06,0.96,0.04,0.96,0.2,0.8,0.11,0.99,0.04,0.99,0.0,0.96,0.06,0.88,0.12,0.8,0.06,0.9,0.18,0.87,0.01,0.92,0.2,0.82,0.17,0.94,0.08,0.85,0.01,0.91,0.03,0.87,0.15,0.93,0.09,0.91,0.04,0.95,0.09,0.97,0.12,0.37,0.28,0.53,0.33,66.67
